El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Chamartín;Madrid;
2005;Anual;14,07;13,59;
2006;Anual;14;13,6;
2007;Anual;13,69;13,72;
2008;Anual;13,55;13,87;
2009;Anual;13,61;14,05;
2010;Anual;13,54;14,19;
2011;Anual;13,6;14,29;
2012;Anual;13,58;14,4;
2013;Anual;13,62;14,46;
2014;Anual;13,55;14,48;
2015;Anual;13,5;14,5;
2016;Anual;13,68;14,51;
2017;Anual;13,79;14,49;
2018;Anual;13,87;14,37;
2019;Anual;13,82;14,22;
2020;Anual;13,75;13,98;
2021;Anual;13,67;13,76;
2022;Anual;13,43;13,55;
2023;Anual;13,27;13,29;
2024;Anual;13,2;13,03;
2025;Anual;13,15;12,74;
