El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Chamartín;Madrid;
2005;Anual;65,7;67,8;
2006;Anual;65,4;67,7;
2007;Anual;65,8;67,5;
2008;Anual;65,8;67,5;
2009;Anual;65,7;67,4;
2010;Anual;65,4;67;
2011;Anual;65;66,7;
2012;Anual;64,7;66,2;
2013;Anual;64,3;65,9;
2014;Anual;63,9;65,3;
2015;Anual;63,4;65;
2016;Anual;63,2;65;
2017;Anual;63,1;65,1;
2018;Anual;63;65,2;
2019;Anual;62,91;65,53;
2020;Anual;62,91;65,96;
2021;Anual;62,91;66,21;
2022;Anual;62,82;66,17;
2023;Anual;62,82;66,51;
2024;Anual;63,04;67,01;
2025;Anual;63,07;67,25;
