El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Chamartín;Madrid;
2005;Anual;20,24;18,62;
2006;Anual;20,57;18,74;
2007;Anual;20,49;18,76;
2008;Anual;20,61;18,58;
2009;Anual;20,71;18,58;
2010;Anual;21,06;18,77;
2011;Anual;21,38;19,04;
2012;Anual;21,71;19,36;
2013;Anual;22,04;19,67;
2014;Anual;22,59;20,18;
2015;Anual;23,09;20,49;
2016;Anual;23,09;20,46;
2017;Anual;23,16;20,46;
2018;Anual;23,16;20,39;
2019;Anual;23,28;20,26;
2020;Anual;23,34;20,06;
2021;Anual;23,42;20,03;
2022;Anual;23,75;20,28;
2023;Anual;23,91;20,2;
2024;Anual;23,75;19,97;
2025;Anual;23,78;20,01;
