El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Chamartín;Madrid;
2005;Anual;29,56;26,61;
2006;Anual;30,27;27,11;
2007;Anual;31,39;28,12;
2008;Anual;32,44;28,96;
2009;Anual;33,4;29,9;
2010;Anual;34,16;30,78;
2011;Anual;34,77;31,72;
2012;Anual;35,11;32,61;
2013;Anual;35,56;33,51;
2014;Anual;35,83;34,33;
2015;Anual;36,27;35,02;
2016;Anual;36,42;35,49;
2017;Anual;36,74;36,1;
2018;Anual;36,4;36,19;
2019;Anual;35,8;36;
2020;Anual;35,1;35,2;
2021;Anual;35,2;35,4;
2022;Anual;35,3;35;
2023;Anual;;34,59;
2024;Anual;35,3;34,7;
2025;Anual;35,66;34,76;
