El municipio en cifras
Índice de feminidad
Año;Periodos;Chamartín;Madrid;
2005;Anual;123,6;112,8;
2006;Anual;123,8;112,5;
2007;Anual;122,7;112,6;
2008;Anual;122,6;112,4;
2009;Anual;122,3;112,3;
2010;Anual;122,6;112,7;
2011;Anual;122,6;113,3;
2012;Anual;123,2;114;
2013;Anual;122,8;114,5;
2014;Anual;123,2;114,8;
2015;Anual;123,4;115;
2016;Anual;123,1;114,9;
2017;Anual;122,5;114,8;
2018;Anual;122,4;114,7;
2019;Anual;122,5;114,7;
2020;Anual;122,1;114,5;
2021;Anual;122,1;114,4;
2022;Anual;121,8;114,1;
2023;Anual;121,9;114,1;
2024;Anual;121,5;113,5;
2025;Anual;120,7;113,1;
