El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Chamartín;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;10,98;14,29;
2006;Anual;12,02;15,82;
2007;Anual;11,43;15,86;
2008;Anual;11,74;16,9;
2009;Anual;12,12;17,47;
2010;Anual;12,04;17,34;
2011;Anual;11,95;16,93;
2012;Anual;10,83;15,43;
2013;Anual;10,42;14,41;
2014;Anual;9,53;13,14;
2015;Anual;8,75;12,07;
2016;Anual;8,81;12,19;
2017;Anual;8,87;12,41;
2018;Anual;9,09;13,12;
2019;Anual;9,46;14,1;
2020;Anual;10,08;15,32;
2021;Anual;10,34;15,82;
2022;Anual;10,29;15,74;
2023;Anual;11;17,08;
2024;Anual;12,32;18,99;
2025;Anual;13,16;19,99;
