El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Chamartín;Madrid;
2015;Enero;7,01;11,24;
2015;Febrero;7,1;11,3;
2015;Marzo;7,03;11,24;
2015;Abril;6,82;10,97;
2015;Mayo;6,59;10,62;
2015;Junio;6,38;10,33;
2015;Julio;6,48;10,25;
2015;Agosto;6,68;10,39;
2015;Septiembre;6,49;10,35;
2015;Octubre;6,43;10,4;
2015;Noviembre;6,38;10,27;
2015;Diciembre;6,28;10,07;
2016;Enero;6,4;10,23;
2016;Febrero;6,44;10,27;
2016;Marzo;6,39;10,22;
2016;Abril;6,3;10,02;
2016;Mayo;6,17;9,72;
2016;Junio;6,12;9,56;
2016;Julio;6,14;9,46;
2016;Agosto;6,26;9,57;
2016;Septiembre;6,09;9,46;
2016;Octubre;6,04;9,46;
2016;Noviembre;5,95;9,34;
2016;Diciembre;5,9;9,09;
2017;Enero;6,01;9,29;
2017;Febrero;5,94;9,35;
2017;Marzo;5,83;9,2;
2017;Abril;5,68;8,95;
2017;Mayo;5,52;8,74;
2017;Junio;5,43;8,6;
2017;Julio;5,54;8,63;
2017;Agosto;5,66;8,74;
2017;Septiembre;5,56;8,7;
2017;Octubre;5,56;8,7;
2017;Noviembre;5,41;8,48;
2017;Diciembre;5,33;8,28;
2018;Enero;5,39;8,53;
2018;Febrero;5,42;8,57;
2018;Marzo;5,33;8,48;
2018;Abril;5,22;8,3;
2018;Mayo;5,13;8,05;
2018;Junio;5;7,85;
2018;Julio;5,05;7,85;
2018;Agosto;5,11;7,91;
2018;Septiembre;5,02;7,87;
2018;Octubre;4,98;7,81;
2018;Noviembre;4,88;7,67;
2018;Diciembre;4,83;7,48;
2019;Enero;4,94;7,73;
2019;Febrero;4,91;7,82;
2019;Marzo;4,92;7,8;
2019;Abril;4,86;7,66;
2019;Mayo;4,77;7,48;
2019;Junio;4,68;7,35;
2019;Julio;4,88;7,37;
2019;Agosto;4,94;7,49;
2019;Septiembre;4,88;7,43;
2019;Octubre;4,83;7,52;
2019;Noviembre;4,82;7,45;
2019;Diciembre;4,74;7,3;
2020;Enero;4,84;7,54;
2020;Febrero;4,91;7,57;
2020;Marzo;5,06;7,8;
2020;Abril;5,63;8,74;
2020;Mayo;6,03;9,14;
2020;Junio;6,18;9,16;
2020;Julio;6,38;9,37;
2020;Agosto;6,5;9,5;
2020;Septiembre;6,29;9,36;
2020;Octubre;6,37;9,51;
2020;Noviembre;6,33;9,51;
2020;Diciembre;6,3;9,54;
2021;Enero;6,36;9,71;
2021;Febrero;6,45;9,87;
2021;Marzo;6,35;9,83;
2021;Abril;6,22;9,72;
2021;Mayo;6,05;9,48;
2021;Junio;5,97;9,29;
2021;Julio;5,98;9,14;
2021;Agosto;6,13;9,17;
2021;Septiembre;5,95;8,95;
2021;Octubre;5,78;8,71;
2021;Noviembre;5,64;8,51;
2021;Diciembre;5,3;7,91;
2022;Enero;5,08;7,74;
2022;Febrero;4,72;7,33;
2022;Marzo;4,67;7,28;
2022;Abril;4,5;7,01;
2022;Mayo;4,33;6,68;
2022;Junio;4,21;6,5;
2022;Julio;4,26;6,56;
2022;Agosto;4,26;6,6;
2022;Septiembre;4,17;6,6;
2022;Octubre;4,09;6,57;
2022;Noviembre;4,01;6,42;
2022;Diciembre;4,01;6,33;
2023;Enero;4,12;6,56;
2023;Febrero;4,18;6,67;
2023;Marzo;4,21;6,72;
2023;Abril;4,11;6,59;
2023;Mayo;4,07;6,38;
2023;Junio;4,05;6,32;
2023;Julio;4,01;6,2;
2023;Agosto;4,05;6,23;
2023;Septiembre;3,99;6,26;
2023;Octubre;3,96;6,23;
2023;Noviembre;3,93;6,13;
2023;Diciembre;3,94;6,02;
2024;Enero;4,01;6,23;
2024;Febrero;4,01;6,22;
2024;Marzo;4,05;6,24;
2024;Abril;3,95;6,07;
2024;Mayo;3,83;5,94;
2024;Junio;3,83;5,84;
2024;Julio;3,88;5,83;
2024;Agosto;3,97;5,87;
2024;Septiembre;3,92;5,87;
2024;Octubre;3,91;5,85;
2024;Noviembre;3,87;5,76;
2024;Diciembre;4;5,68;
2025;Enero;4,07;5,75;
2025;Febrero;4,05;5,84;
2025;Marzo;3,87;5,89;
2025;Abril;3,82;5,82;
2025;Mayo;3,71;5,69;
2025;Junio;3,66;5,57;
2025;Julio;3,78;5,59;
2025;Agosto;3,83;5,7;
2025;Septiembre;3,84;5,66;
2025;Octubre;3,83;5,71;
2025;Noviembre;3,84;5,64;
2025;Diciembre;3,87;5,61;
2026;Enero;3,84;5,69;
2026;Febrero;3,8;5,76;
