El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Chamartín;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;171,24;71;
2011;Anual;182,04;69,87;
2012;Anual;181,45;70,49;
2013;Anual;182,27;73;
2014;Anual;181,25;73,66;
2015;Anual;164,28;76,17;
2016;Anual;156,26;79,58;
2017;Anual;159,84;81,08;
2018;Anual;164,35;83,22;
2019;Anual;166,28;85,23;
2020;Anual;190;85,5;
2021;Anual;194,73;83,51;
2022;Anual;200,62;88,8;
2023;Anual;206,87;91,68;
