El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Chamartín;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;9,89;8;
2011;Anual;9,96;8,38;
2012;Anual;8,8;8,52;
2013;Anual;9,16;9;
2014;Anual;10,22;8,85;
2015;Anual;10,5;9,26;
2016;Anual;10,33;9,39;
2017;Anual;11,07;9,54;
2018;Anual;8,99;9,62;
2019;Anual;12;8,96;
2020;Anual;12,19;8,95;
2021;Anual;12,03;8,87;
2022;Anual;12,11;9,02;
2023;Anual;12,26;9,8;
2024;Anual;;;
2025;Anual;;9;
