El municipio en cifras
Parados registrados
Año;Periodos;Chamartín;
2012;Diciembre;6890;
2013;Enero;7207;
2013;Febrero;7226;
2013;Marzo;7253;
2013;Abril;7308;
2013;Mayo;7212;
2013;Junio;7046;
2013;Julio;7103;
2013;Agosto;7214;
2013;Septiembre;7068;
2013;Octubre;7041;
2013;Noviembre;7041;
2013;Diciembre;6831;
2014;Enero;6895;
2014;Febrero;6867;
2014;Marzo;6778;
2014;Abril;6595;
2014;Mayo;6408;
2014;Junio;6280;
2014;Julio;6460;
2014;Agosto;6458;
2014;Septiembre;6356;
2014;Octubre;6354;
2014;Noviembre;6267;
2014;Diciembre;6184;
2015;Enero;6306;
2015;Febrero;6398;
2015;Marzo;6331;
2015;Abril;6148;
2015;Mayo;5928;
2015;Junio;5745;
2015;Julio;5841;
2015;Agosto;5995;
2015;Septiembre;5833;
2015;Octubre;5799;
2015;Noviembre;5773;
2015;Diciembre;5680;
2016;Enero;5789;
2016;Febrero;5839;
2016;Marzo;5768;
2016;Abril;5699;
2016;Mayo;5591;
2016;Junio;5526;
2016;Julio;5551;
2016;Agosto;5644;
2016;Septiembre;5503;
2016;Octubre;5446;
2016;Noviembre;5389;
2016;Diciembre;5352;
2017;Enero;5452;
2017;Febrero;5388;
2017;Marzo;5297;
2017;Abril;5145;
2017;Mayo;5007;
2017;Junio;4934;
2017;Julio;5036;
2017;Agosto;5141;
2017;Septiembre;5046;
2017;Octubre;4990;
2017;Noviembre;4948;
2017;Diciembre;4874;
2018;Enero;4934;
2018;Febrero;4964;
2018;Marzo;4887;
2018;Abril;4776;
2018;Mayo;4705;
2018;Junio;4585;
2018;Julio;4617;
2018;Agosto;4681;
2018;Septiembre;4601;
2018;Octubre;4562;
2018;Noviembre;4480;
2018;Diciembre;4440;
2019;Enero;4542;
2019;Febrero;4521;
2019;Marzo;4531;
2019;Abril;4477;
2019;Mayo;4398;
2019;Junio;4326;
2019;Julio;4516;
2019;Agosto;4583;
2019;Septiembre;4527;
2019;Octubre;4480;
2019;Noviembre;4480;
2019;Diciembre;4419;
2020;Enero;4508;
2020;Febrero;4577;
2020;Marzo;4713;
2020;Abril;5240;
2020;Mayo;5607;
2020;Junio;5742;
2020;Julio;5905;
2020;Agosto;6015;
2020;Septiembre;5820;
2020;Octubre;5881;
2020;Noviembre;5856;
2020;Diciembre;5808;
2021;Enero;5865;
2021;Febrero;5929;
2021;Marzo;5800;
2021;Abril;5689;
2021;Mayo;5524;
2021;Junio;5447;
2021;Julio;5458;
2021;Agosto;5589;
2021;Septiembre;5425;
2021;Octubre;5270;
2021;Noviembre;5159;
2021;Diciembre;4861;
2022;Enero;4621;
2022;Febrero;4296;
2022;Marzo;4249;
2022;Abril;4104;
2022;Mayo;3951;
2022;Junio;3847;
2022;Julio;3890;
2022;Agosto;3890;
2022;Septiembre;3790;
2022;Octubre;3736;
2022;Noviembre;3674;
2022;Diciembre;3660;
2023;Enero;3757;
2023;Febrero;3809;
2023;Marzo;3838;
2023;Abril;3744;
2023;Mayo;3738;
2023;Junio;3726;
2023;Julio;3708;
2023;Agosto;3748;
2023;Septiembre;3696;
2023;Octubre;3683;
2023;Noviembre;3659;
2023;Diciembre;3694;
2024;Enero;3763;
2024;Febrero;3768;
2024;Marzo;3810;
2024;Abril;3718;
2024;Mayo;3609;
2024;Junio;3601;
2024;Julio;3651;
2024;Agosto;3728;
2024;Septiembre;3689;
2024;Octubre;3696;
2024;Noviembre;4093;
2024;Diciembre;3798;
2025;Enero;3855;
2025;Febrero;3835;
2025;Marzo;3662;
2025;Abril;3611;
2025;Mayo;3481;
2025;Junio;3428;
2025;Julio;3533;
2025;Agosto;3569;
2025;Septiembre;3561;
2025;Octubre;3571;
2025;Noviembre;3581;
2025;Diciembre;3609;
2026;Enero;3586;
2026;Febrero;3543;
