El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Chamartín;Madrid;
2005;Anual;14,5;16,3;
2006;Anual;15,6;17,9;
2007;Anual;15,4;18,4;
2008;Anual;16;19,8;
2009;Anual;16,6;20,8;
2010;Anual;16,9;21,1;
2011;Anual;17;21,1;
2012;Anual;16,3;20,4;
2013;Anual;16,2;20,2;
2014;Anual;15,6;19,5;
2015;Anual;15,2;19,3;
2016;Anual;15,4;19,7;
2017;Anual;15,4;20,1;
2018;Anual;15,68;21,03;
2019;Anual;16,13;22,16;
2020;Anual;16,81;23,61;
2021;Anual;17,21;24,32;
2022;Anual;17,34;24,62;
2023;Anual;18,31;26,3;
2024;Anual;20,05;28,76;
2025;Anual;21,07;30,22;
