El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Tetuán;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;1.709;4.403;6.112;42.053;92.109;134.162
2; 80 - 84;1.639;2.990;4.629;42.412;68.809;111.221
3; 75 - 79;2.183;3.443;5.626;53.602;80.108;133.710
4; 70 - 74;2.661;3.933;6.594;60.418;83.243;143.661
5; 65 - 69;3.615;5.102;8.717;80.493;102.569;183.062
6; 60 - 64;4.401;5.686;10.087;102.853;122.998;225.851
7; 55 - 59;4.931;6.071;11.002;116.074;132.847;248.921
8; 50 - 54;5.313;6.124;11.437;126.476;138.636;265.112
9; 45 - 49;5.902;6.373;12.275;130.316;139.236;269.552
10; 40 - 44;6.182;6.896;13.078;122.467;127.825;250.292
11; 35 - 39;6.946;7.537;14.483;122.464;125.667;248.131
12; 30 - 34;8.347;8.762;17.109;133.726;137.801;271.527
13; 25 - 29;7.456;8.135;15.591;124.072;132.589;256.661
14; 20 - 24;4.545;4.719;9.264;100.514;102.254;202.768
15; 15 - 19;3.222;3.074;6.296;84.747;81.427;166.174
16; 10 - 14;2.916;2.783;5.699;77.909;75.033;152.942
17; 5 - 9;2.883;2.826;5.709;71.169;68.166;139.335
18; 0 - 4;2.885;2.886;5.771;63.996;60.839;124.835
