El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Tetuán;Madrid;
2005;Anual;11,78;13,59;
2006;Anual;11,83;13,6;
2007;Anual;11,75;13,72;
2008;Anual;11,84;13,87;
2009;Anual;11,92;14,05;
2010;Anual;12,01;14,19;
2011;Anual;12,08;14,29;
2012;Anual;12,15;14,4;
2013;Anual;12,2;14,46;
2014;Anual;12,2;14,48;
2015;Anual;12,21;14,5;
2016;Anual;12,18;14,51;
2017;Anual;12,17;14,49;
2018;Anual;12;14,37;
2019;Anual;11,72;14,22;
2020;Anual;11,52;13,98;
2021;Anual;11,44;13,76;
2022;Anual;11,38;13,55;
2023;Anual;11,17;13,29;
2024;Anual;10,97;13,03;
2025;Anual;10,83;12,74;
