El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Tetuán;Madrid;
2005;Anual;67,5;67,8;
2006;Anual;67,7;67,7;
2007;Anual;68;67,5;
2008;Anual;68,3;67,5;
2009;Anual;68,5;67,4;
2010;Anual;68,4;67;
2011;Anual;68,3;66,7;
2012;Anual;68,2;66,2;
2013;Anual;68,2;65,9;
2014;Anual;67,8;65,3;
2015;Anual;67,5;65;
2016;Anual;67,8;65;
2017;Anual;68;65,1;
2018;Anual;68,4;65,2;
2019;Anual;68,95;65,53;
2020;Anual;69,43;65,96;
2021;Anual;69,6;66,21;
2022;Anual;69,34;66,17;
2023;Anual;69,75;66,51;
2024;Anual;70,29;67,01;
2025;Anual;70,48;67,25;
