El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Tetuán;Madrid;
2005;Anual;20,71;18,62;
2006;Anual;20,5;18,74;
2007;Anual;20,29;18,76;
2008;Anual;19,87;18,58;
2009;Anual;19,56;18,58;
2010;Anual;19,56;18,77;
2011;Anual;19,62;19,04;
2012;Anual;19,64;19,36;
2013;Anual;19,63;19,67;
2014;Anual;20,01;20,18;
2015;Anual;20,29;20,49;
2016;Anual;20,06;20,46;
2017;Anual;19,82;20,46;
2018;Anual;19,57;20,39;
2019;Anual;19,33;20,26;
2020;Anual;19,05;20,06;
2021;Anual;18,95;20,03;
2022;Anual;19,29;20,28;
2023;Anual;19,08;20,2;
2024;Anual;18,74;19,97;
2025;Anual;18,7;20,01;
