El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Tetuán;Madrid;
2005;Anual;30,03;26,61;
2006;Anual;30,85;27,11;
2007;Anual;32,14;28,12;
2008;Anual;33,2;28,96;
2009;Anual;34,5;29,9;
2010;Anual;35,41;30,78;
2011;Anual;36,58;31,72;
2012;Anual;37,25;32,61;
2013;Anual;38,17;33,51;
2014;Anual;39,05;34,33;
2015;Anual;39,77;35,02;
2016;Anual;39,71;35,49;
2017;Anual;39,89;36,1;
2018;Anual;39,33;36,19;
2019;Anual;38,4;36;
2020;Anual;37;35,2;
2021;Anual;36,3;35,4;
2022;Anual;35,4;35;
2023;Anual;34,58;34,59;
2024;Anual;34,2;34,7;
2025;Anual;33,92;34,76;
