El municipio en cifras
Índice de feminidad
Año;Periodos;Tetuán;Madrid;
2005;Anual;119,7;112,8;
2006;Anual;119,4;112,5;
2007;Anual;119,4;112,6;
2008;Anual;119,2;112,4;
2009;Anual;118,8;112,3;
2010;Anual;119,1;112,7;
2011;Anual;119,8;113,3;
2012;Anual;120,4;114;
2013;Anual;120,3;114,5;
2014;Anual;120,5;114,8;
2015;Anual;121,1;115;
2016;Anual;120,5;114,9;
2017;Anual;120,7;114,8;
2018;Anual;120,5;114,7;
2019;Anual;120,5;114,7;
2020;Anual;119,9;114,5;
2021;Anual;119,7;114,4;
2022;Anual;119,8;114,1;
2023;Anual;119,4;114,1;
2024;Anual;118,5;113,5;
2025;Anual;118;113,1;
