El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Tetuán;Madrid;
2005;Anual;22;16,3;
2006;Anual;23,8;17,9;
2007;Anual;23,7;18,4;
2008;Anual;25,4;19,8;
2009;Anual;26,7;20,8;
2010;Anual;27,3;21,1;
2011;Anual;27,4;21,1;
2012;Anual;27,2;20,4;
2013;Anual;27,3;20,2;
2014;Anual;26,6;19,5;
2015;Anual;26,5;19,3;
2016;Anual;27,1;19,7;
2017;Anual;27,6;20,1;
2018;Anual;28,5;21,03;
2019;Anual;29,47;22,16;
2020;Anual;30,71;23,61;
2021;Anual;31,39;24,32;
2022;Anual;31,54;24,62;
2023;Anual;33,01;26,3;
2024;Anual;35,43;28,76;
2025;Anual;36,78;30,22;
