El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Tetuán;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;19,57;14,29;
2006;Anual;21,07;15,82;
2007;Anual;20,41;15,86;
2008;Anual;21,54;16,9;
2009;Anual;22,25;17,47;
2010;Anual;22,21;17,34;
2011;Anual;21,87;16,93;
2012;Anual;20,54;15,43;
2013;Anual;19,68;14,41;
2014;Anual;18,14;13,14;
2015;Anual;16,7;12,07;
2016;Anual;17,01;12,19;
2017;Anual;17,32;12,41;
2018;Anual;18,05;13,12;
2019;Anual;19,04;14,1;
2020;Anual;20,05;15,32;
2021;Anual;20,42;15,82;
2022;Anual;20,24;15,74;
2023;Anual;21,45;17,08;
2024;Anual;23,45;18,99;
2025;Anual;24,49;19,99;
