El municipio en cifras
Población
Año;Periodos;Tetuán;
1987;Anual;156959;
1988;Anual;156542;
1989;Anual;156358;
1990;Anual;156254;
1991;Anual;147318;
1992;Anual;147425;
1993;Anual;148052;
1994;Anual;147678;
1995;Anual;146488;
1996;Anual;135367;
1997;Anual;135639;
1998;Anual;135910;
1999;Anual;135742;
2000;Anual;135210;
2001;Anual;140951;
2002;Anual;144700;
2003;Anual;149200;
2004;Anual;150834;
2005;Anual;150379;
2006;Anual;152615;
2007;Anual;152206;
2008;Anual;154470;
2009;Anual;156658;
2010;Anual;157527;
2011;Anual;156433;
2012;Anual;155764;
2013;Anual;155684;
2014;Anual;152523;
2015;Anual;150860;
2016;Anual;152545;
2017;Anual;153789;
2018;Anual;155967;
2019;Anual;157937;
2020;Anual;161313;
2021;Anual;159849;
2022;Anual;157433;
2023;Anual;160002;
2024;Anual;166211;
2025;Anual;169479;
