El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Tetuán;Madrid;
2015;Enero;11,17;11,24;
2015;Febrero;11,33;11,3;
2015;Marzo;11,3;11,24;
2015;Abril;10,99;10,97;
2015;Mayo;10,61;10,62;
2015;Junio;10,28;10,33;
2015;Julio;10,18;10,25;
2015;Agosto;10,21;10,39;
2015;Septiembre;10,15;10,35;
2015;Octubre;10,28;10,4;
2015;Noviembre;10,13;10,27;
2015;Diciembre;9,9;10,07;
2016;Enero;10,12;10,23;
2016;Febrero;10,09;10,27;
2016;Marzo;10,06;10,22;
2016;Abril;9,93;10,02;
2016;Mayo;9,63;9,72;
2016;Junio;9,38;9,56;
2016;Julio;9,29;9,46;
2016;Agosto;9,32;9,57;
2016;Septiembre;9,16;9,46;
2016;Octubre;9,29;9,46;
2016;Noviembre;9,34;9,34;
2016;Diciembre;9,03;9,09;
2017;Enero;9,11;9,29;
2017;Febrero;9,32;9,35;
2017;Marzo;9,18;9,2;
2017;Abril;8,88;8,95;
2017;Mayo;8,67;8,74;
2017;Junio;8,48;8,6;
2017;Julio;8,46;8,63;
2017;Agosto;8,62;8,74;
2017;Septiembre;8,46;8,7;
2017;Octubre;8,46;8,7;
2017;Noviembre;8,27;8,48;
2017;Diciembre;8,03;8,28;
2018;Enero;8,25;8,53;
2018;Febrero;8,23;8,57;
2018;Marzo;8,19;8,48;
2018;Abril;8,03;8,3;
2018;Mayo;7,67;8,05;
2018;Junio;7,51;7,85;
2018;Julio;7,46;7,85;
2018;Agosto;7,49;7,91;
2018;Septiembre;7,41;7,87;
2018;Octubre;7,34;7,81;
2018;Noviembre;7,19;7,67;
2018;Diciembre;7,03;7,48;
2019;Enero;7,27;7,73;
2019;Febrero;7,41;7,82;
2019;Marzo;7,4;7,8;
2019;Abril;7,28;7,66;
2019;Mayo;7,11;7,48;
2019;Junio;7,05;7,35;
2019;Julio;6,88;7,37;
2019;Agosto;7,07;7,49;
2019;Septiembre;7,08;7,43;
2019;Octubre;7,24;7,52;
2019;Noviembre;7,15;7,45;
2019;Diciembre;7,08;7,3;
2020;Enero;7,24;7,54;
2020;Febrero;7,29;7,57;
2020;Marzo;7,55;7,8;
2020;Abril;8,39;8,74;
2020;Mayo;8,59;9,14;
2020;Junio;8,7;9,16;
2020;Julio;9,1;9,37;
2020;Agosto;9,22;9,5;
2020;Septiembre;9,11;9,36;
2020;Octubre;9,25;9,51;
2020;Noviembre;9,27;9,51;
2020;Diciembre;9,23;9,54;
2021;Enero;9,37;9,71;
2021;Febrero;9,56;9,87;
2021;Marzo;9,63;9,83;
2021;Abril;9,54;9,72;
2021;Mayo;9,33;9,48;
2021;Junio;9,15;9,29;
2021;Julio;8,92;9,14;
2021;Agosto;9,03;9,17;
2021;Septiembre;8,8;8,95;
2021;Octubre;8,47;8,71;
2021;Noviembre;8,35;8,51;
2021;Diciembre;7,7;7,91;
2022;Enero;7,52;7,74;
2022;Febrero;6,94;7,33;
2022;Marzo;6,89;7,28;
2022;Abril;6,67;7,01;
2022;Mayo;6,34;6,68;
2022;Junio;6,11;6,5;
2022;Julio;6,14;6,56;
2022;Agosto;6,22;6,6;
2022;Septiembre;6,25;6,6;
2022;Octubre;6,22;6,57;
2022;Noviembre;6,03;6,42;
2022;Diciembre;5,98;6,33;
2023;Enero;6,14;6,56;
2023;Febrero;6,28;6,67;
2023;Marzo;6,32;6,72;
2023;Abril;6,17;6,59;
2023;Mayo;6;6,38;
2023;Junio;5,92;6,32;
2023;Julio;5,78;6,2;
2023;Agosto;5,82;6,23;
2023;Septiembre;5,89;6,26;
2023;Octubre;5,85;6,23;
2023;Noviembre;5,78;6,13;
2023;Diciembre;5,68;6,02;
2024;Enero;5,9;6,23;
2024;Febrero;5,91;6,22;
2024;Marzo;5,92;6,24;
2024;Abril;5,7;6,07;
2024;Mayo;5,57;5,94;
2024;Junio;5,54;5,84;
2024;Julio;5,5;5,83;
2024;Agosto;5,53;5,87;
2024;Septiembre;5,49;5,87;
2024;Octubre;5,47;5,85;
2024;Noviembre;5,38;5,76;
2024;Diciembre;5,16;5,68;
2025;Enero;5,18;5,75;
2025;Febrero;5,29;5,84;
2025;Marzo;5,41;5,89;
2025;Abril;5,36;5,82;
2025;Mayo;5,24;5,69;
2025;Junio;5,16;5,57;
2025;Julio;5,15;5,59;
2025;Agosto;5,24;5,7;
2025;Septiembre;5,15;5,66;
2025;Octubre;5,2;5,71;
2025;Noviembre;5,16;5,64;
2025;Diciembre;5,11;5,61;
2026;Enero;5,24;5,69;
2026;Febrero;5,3;5,76;
