El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Tetuán;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;89,26;71;
2011;Anual;82,37;69,87;
2012;Anual;89,57;70,49;
2013;Anual;89,52;73;
2014;Anual;88,63;73,66;
2015;Anual;94,49;76,17;
2016;Anual;109,71;79,58;
2017;Anual;109,16;81,08;
2018;Anual;123,51;83,22;
2019;Anual;137,61;85,23;
2020;Anual;141,84;85,5;
2021;Anual;139,71;83,51;
2022;Anual;156,43;88,8;
2023;Anual;170,96;91,68;
