El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Tetuán;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;7,92;8;
2011;Anual;8,09;8,38;
2012;Anual;7,03;8,52;
2013;Anual;7,25;9;
2014;Anual;8,17;8,85;
2015;Anual;8,59;9,26;
2016;Anual;8,27;9,39;
2017;Anual;8,79;9,54;
2018;Anual;6,48;9,62;
2019;Anual;9,11;8,96;
2020;Anual;9,15;8,95;
2021;Anual;8,92;8,87;
2022;Anual;8,99;9,02;
2023;Anual;8,93;9,8;
2024;Anual;;;
2025;Anual;;9;
