El municipio en cifras
Parados registrados
Año;Periodos;Tetuán;
2012;Diciembre;12232;
2013;Enero;12513;
2013;Febrero;12655;
2013;Marzo;12760;
2013;Abril;12693;
2013;Mayo;12485;
2013;Junio;12255;
2013;Julio;12189;
2013;Agosto;12281;
2013;Septiembre;12381;
2013;Octubre;12606;
2013;Noviembre;12524;
2013;Diciembre;12153;
2014;Enero;12312;
2014;Febrero;12338;
2014;Marzo;12411;
2014;Abril;12132;
2014;Mayo;11768;
2014;Junio;11477;
2014;Julio;11529;
2014;Agosto;11643;
2014;Septiembre;11485;
2014;Octubre;11543;
2014;Noviembre;11528;
2014;Diciembre;11283;
2015;Enero;11411;
2015;Febrero;11602;
2015;Marzo;11576;
2015;Abril;11294;
2015;Mayo;10892;
2015;Junio;10583;
2015;Julio;10513;
2015;Agosto;10499;
2015;Septiembre;10444;
2015;Octubre;10616;
2015;Noviembre;10497;
2015;Diciembre;10248;
2016;Enero;10503;
2016;Febrero;10497;
2016;Marzo;10449;
2016;Abril;10347;
2016;Mayo;10068;
2016;Junio;9777;
2016;Julio;9710;
2016;Agosto;9711;
2016;Septiembre;9559;
2016;Octubre;9656;
2016;Noviembre;9746;
2016;Diciembre;9471;
2017;Enero;9559;
2017;Febrero;9785;
2017;Marzo;9670;
2017;Abril;9334;
2017;Mayo;9111;
2017;Junio;8954;
2017;Julio;8951;
2017;Agosto;9094;
2017;Septiembre;8940;
2017;Octubre;8874;
2017;Noviembre;8828;
2017;Diciembre;8571;
2018;Enero;8834;
2018;Febrero;8827;
2018;Marzo;8798;
2018;Abril;8611;
2018;Mayo;8258;
2018;Junio;8073;
2018;Julio;8020;
2018;Agosto;8067;
2018;Septiembre;7994;
2018;Octubre;7938;
2018;Noviembre;7796;
2018;Diciembre;7669;
2019;Enero;7947;
2019;Febrero;8092;
2019;Marzo;8079;
2019;Abril;7968;
2019;Mayo;7803;
2019;Junio;7765;
2019;Julio;7607;
2019;Agosto;7850;
2019;Septiembre;7897;
2019;Octubre;8064;
2019;Noviembre;8015;
2019;Diciembre;7963;
2020;Enero;8144;
2020;Febrero;8193;
2020;Marzo;8519;
2020;Abril;9456;
2020;Mayo;9671;
2020;Junio;9801;
2020;Julio;10195;
2020;Agosto;10331;
2020;Septiembre;10224;
2020;Octubre;10363;
2020;Noviembre;10393;
2020;Diciembre;10341;
2021;Enero;10499;
2021;Febrero;10669;
2021;Marzo;10611;
2021;Abril;10541;
2021;Mayo;10295;
2021;Junio;10059;
2021;Julio;9823;
2021;Agosto;9947;
2021;Septiembre;9697;
2021;Octubre;9315;
2021;Noviembre;9199;
2021;Diciembre;8515;
2022;Enero;8240;
2022;Febrero;7623;
2022;Marzo;7568;
2022;Abril;7363;
2022;Mayo;7025;
2022;Junio;6792;
2022;Julio;6831;
2022;Agosto;6831;
2022;Septiembre;6956;
2022;Octubre;6967;
2022;Noviembre;6788;
2022;Diciembre;6678;
2023;Enero;6863;
2023;Febrero;7019;
2023;Marzo;7061;
2023;Abril;6893;
2023;Mayo;6839;
2023;Junio;6750;
2023;Julio;6646;
2023;Agosto;6714;
2023;Septiembre;6793;
2023;Octubre;6786;
2023;Noviembre;6700;
2023;Diciembre;6643;
2024;Enero;6919;
2024;Febrero;6971;
2024;Marzo;7001;
2024;Abril;6753;
2024;Mayo;6628;
2024;Junio;6589;
2024;Julio;6556;
2024;Agosto;6574;
2024;Septiembre;6539;
2024;Octubre;6545;
2024;Noviembre;5687;
2024;Diciembre;6200;
2025;Enero;6211;
2025;Febrero;6343;
2025;Marzo;6482;
2025;Abril;6423;
2025;Mayo;6232;
2025;Junio;6117;
2025;Julio;6103;
2025;Agosto;6176;
2025;Septiembre;6043;
2025;Octubre;6134;
2025;Noviembre;6089;
2025;Diciembre;6055;
2026;Enero;6202;
2026;Febrero;6279;
