El municipio en cifras
Población
Año;Periodos;Chamberí;
1987;Anual;172721;
1988;Anual;172671;
1989;Anual;172969;
1990;Anual;173039;
1991;Anual;160942;
1992;Anual;161167;
1993;Anual;162457;
1994;Anual;162294;
1995;Anual;160622;
1996;Anual;144889;
1997;Anual;145297;
1998;Anual;145705;
1999;Anual;145682;
2000;Anual;144483;
2001;Anual;147498;
2002;Anual;144700;
2003;Anual;151230;
2004;Anual;151766;
2005;Anual;150810;
2006;Anual;150631;
2007;Anual;145593;
2008;Anual;145934;
2009;Anual;145794;
2010;Anual;145144;
2011;Anual;143773;
2012;Anual;141394;
2013;Anual;141085;
2014;Anual;138586;
2015;Anual;137286;
2016;Anual;137532;
2017;Anual;137401;
2018;Anual;138418;
2019;Anual;139448;
2020;Anual;140866;
2021;Anual;138667;
2022;Anual;137287;
2023;Anual;138204;
2024;Anual;141984;
2025;Anual;143807;
