El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Chamberí;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;1.791;4.924;6.715;42.053;92.109;134.162
2; 80 - 84;1.904;3.512;5.416;42.412;68.809;111.221
3; 75 - 79;2.597;4.099;6.696;53.602;80.108;133.710
4; 70 - 74;2.896;4.497;7.393;60.418;83.243;143.661
5; 65 - 69;3.397;4.774;8.171;80.493;102.569;183.062
6; 60 - 64;3.913;5.018;8.931;102.853;122.998;225.851
7; 55 - 59;4.026;4.921;8.947;116.074;132.847;248.921
8; 50 - 54;4.168;4.860;9.028;126.476;138.636;265.112
9; 45 - 49;4.547;4.904;9.451;130.316;139.236;269.552
10; 40 - 44;4.419;4.754;9.173;122.467;127.825;250.292
11; 35 - 39;4.982;5.353;10.335;122.464;125.667;248.131
12; 30 - 34;6.337;6.973;13.310;133.726;137.801;271.527
13; 25 - 29;5.938;7.641;13.579;124.072;132.589;256.661
14; 20 - 24;3.673;4.580;8.253;100.514;102.254;202.768
15; 15 - 19;2.495;2.551;5.046;84.747;81.427;166.174
16; 10 - 14;2.162;2.288;4.450;77.909;75.033;152.942
17; 5 - 9;2.206;2.152;4.358;71.169;68.166;139.335
18; 0 - 4;2.315;2.240;4.555;63.996;60.839;124.835
