El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Chamberí;Madrid;
2005;Anual;10,85;13,59;
2006;Anual;10,73;13,6;
2007;Anual;10,77;13,72;
2008;Anual;10,75;13,87;
2009;Anual;10,86;14,05;
2010;Anual;10,9;14,19;
2011;Anual;10,88;14,29;
2012;Anual;10,89;14,4;
2013;Anual;10,86;14,46;
2014;Anual;11;14,48;
2015;Anual;11,04;14,5;
2016;Anual;11,09;14,51;
2017;Anual;11,11;14,49;
2018;Anual;11,02;14,37;
2019;Anual;10,87;14,22;
2020;Anual;10,68;13,98;
2021;Anual;10,65;13,76;
2022;Anual;10,59;13,55;
2023;Anual;10,31;13,29;
2024;Anual;10,1;13,03;
2025;Anual;9,9;12,74;
