El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Chamberí;Madrid;
2005;Anual;66,6;67,8;
2006;Anual;66,7;67,7;
2007;Anual;66,3;67,5;
2008;Anual;66,5;67,5;
2009;Anual;66,4;67,4;
2010;Anual;66,2;67;
2011;Anual;66;66,7;
2012;Anual;65,7;66,2;
2013;Anual;65,6;65,9;
2014;Anual;65;65,3;
2015;Anual;64,7;65;
2016;Anual;64,7;65;
2017;Anual;64,7;65,1;
2018;Anual;64,7;65,2;
2019;Anual;64,95;65,53;
2020;Anual;65,29;65,96;
2021;Anual;65,13;66,21;
2022;Anual;64,99;66,17;
2023;Anual;65,38;66,51;
2024;Anual;65,92;67,01;
2025;Anual;66,18;67,25;
