El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Chamberí;Madrid;
2005;Anual;22,55;18,62;
2006;Anual;22,54;18,74;
2007;Anual;22,94;18,76;
2008;Anual;22,8;18,58;
2009;Anual;22,75;18,58;
2010;Anual;22,9;18,77;
2011;Anual;23,12;19,04;
2012;Anual;23,44;19,36;
2013;Anual;23,54;19,67;
2014;Anual;23,98;20,18;
2015;Anual;24,29;20,49;
2016;Anual;24,18;20,46;
2017;Anual;24,24;20,46;
2018;Anual;24,24;20,39;
2019;Anual;24,18;20,26;
2020;Anual;24,03;20,06;
2021;Anual;24,23;20,03;
2022;Anual;24,42;20,28;
2023;Anual;24,31;20,2;
2024;Anual;23,97;19,97;
2025;Anual;23,91;20,01;
