El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Chamberí;Madrid;
2005;Anual;36,34;26,61;
2006;Anual;36,58;27,11;
2007;Anual;37,22;28,12;
2008;Anual;37,78;28,96;
2009;Anual;38,4;29,9;
2010;Anual;38,67;30,78;
2011;Anual;39,02;31,72;
2012;Anual;39,18;32,61;
2013;Anual;39,22;33,51;
2014;Anual;39,2;34,33;
2015;Anual;39,11;35,02;
2016;Anual;38,75;35,49;
2017;Anual;38,53;36,1;
2018;Anual;37,79;36,19;
2019;Anual;36,6;36;
2020;Anual;35,5;35,2;
2021;Anual;35,3;35,4;
2022;Anual;34,9;35;
2023;Anual;34,68;34,59;
2024;Anual;34,7;34,7;
2025;Anual;35,25;34,76;
