El municipio en cifras
Índice de feminidad
Año;Periodos;Chamberí;Madrid;
2005;Anual;130,8;112,8;
2006;Anual;130,5;112,5;
2007;Anual;131,3;112,6;
2008;Anual;130,8;112,4;
2009;Anual;131;112,3;
2010;Anual;131,1;112,7;
2011;Anual;131,1;113,3;
2012;Anual;130,9;114;
2013;Anual;130,3;114,5;
2014;Anual;130;114,8;
2015;Anual;129,8;115;
2016;Anual;129;114,9;
2017;Anual;128,2;114,8;
2018;Anual;127,6;114,7;
2019;Anual;127,5;114,7;
2020;Anual;126,7;114,5;
2021;Anual;126,2;114,4;
2022;Anual;125,6;114,1;
2023;Anual;126;114,1;
2024;Anual;125,7;113,5;
2025;Anual;125,5;113,1;
