El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Chamberí;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;13,99;14,29;
2006;Anual;15,11;15,82;
2007;Anual;13,87;15,86;
2008;Anual;14,28;16,9;
2009;Anual;14,5;17,47;
2010;Anual;14,37;17,34;
2011;Anual;14,12;16,93;
2012;Anual;12,6;15,43;
2013;Anual;12,27;14,41;
2014;Anual;11,44;13,14;
2015;Anual;10,61;12,07;
2016;Anual;10,44;12,19;
2017;Anual;10,41;12,41;
2018;Anual;10,7;13,12;
2019;Anual;11,35;14,1;
2020;Anual;12,12;15,32;
2021;Anual;12,55;15,82;
2022;Anual;12,76;15,74;
2023;Anual;13,81;17,08;
2024;Anual;15,7;18,99;
2025;Anual;16,84;19,99;
