El municipio en cifras
Parados por grupos de edad
Año;Periodos;Menos de 25 años;Entre 25 y 44 años;Más de 44 años;
2012;Diciembre;358;4.229;3.294;
2013;Enero;341;4.319;3.366;
2013;Febrero;358;4.343;3.368;
2013;Marzo;367;4.332;3.377;
2013;Abril;374;4.190;3.368;
2013;Mayo;341;4.196;3.374;
2013;Junio;260;4.047;3.391;
2013;Julio;258;4.047;3.455;
2013;Agosto;268;4.012;3.456;
2013;Septiembre;315;3.889;3.426;
2013;Octubre;337;3.887;3.404;
2013;Noviembre;340;3.836;3.401;
2013;Diciembre;296;3.765;3.355;
2014;Enero;315;3.935;3.409;
2014;Febrero;321;3.844;3.372;
2014;Marzo;321;3.793;3.363;
2014;Abril;306;3.622;3.307;
2014;Mayo;286;3.513;3.265;
2014;Junio;248;3.369;3.238;
2014;Julio;267;3.471;3.319;
2014;Agosto;288;3.453;3.293;
2014;Septiembre;312;3.418;3.249;
2014;Octubre;327;3.426;3.255;
2014;Noviembre;340;3.318;3.224;
2014;Diciembre;286;3.236;3.263;
2015;Enero;283;3.309;3.248;
2015;Febrero;297;3.358;3.227;
2015;Marzo;284;3.311;3.198;
2015;Abril;283;3.172;3.177;
2015;Mayo;251;3.076;3.116;
2015;Junio;218;2.866;3.044;
2015;Julio;255;2.869;3.064;
2015;Agosto;266;2.955;3.117;
2015;Septiembre;279;2.871;3.058;
2015;Octubre;291;2.890;3.051;
2015;Noviembre;314;2.831;3.010;
2015;Diciembre;264;2.842;3.005;
2016;Enero;265;2.901;3.056;
2016;Febrero;273;2.889;3.052;
2016;Marzo;267;2.841;3.045;
2016;Abril;269;2.715;3.041;
2016;Mayo;242;2.655;2.976;
2016;Junio;206;2.598;2.939;
2016;Julio;203;2.620;2.942;
2016;Agosto;192;2.696;2.939;
2016;Septiembre;228;2.555;2.889;
2016;Octubre;233;2.497;2.868;
2016;Noviembre;234;2.500;2.847;
2016;Diciembre;207;2.412;2.847;
2017;Enero;205;2.475;2.869;
2017;Febrero;223;2.475;2.877;
2017;Marzo;237;2.390;2.834;
2017;Abril;210;2.297;2.758;
2017;Mayo;191;2.285;2.706;
2017;Junio;159;2.227;2.715;
2017;Julio;174;2.318;2.683;
2017;Agosto;205;2.362;2.728;
2017;Septiembre;248;2.302;2.717;
2017;Octubre;247;2.287;2.694;
2017;Noviembre;260;2.245;2.662;
2017;Diciembre;202;2.240;2.656;
2018;Enero;230;2.344;2.677;
2018;Febrero;232;2.341;2.668;
2018;Marzo;228;2.278;2.659;
2018;Abril;224;2.172;2.608;
2018;Mayo;229;2.126;2.561;
2018;Junio;184;2.040;2.539;
2018;Julio;182;2.041;2.579;
2018;Agosto;187;2.114;2.594;
2018;Septiembre;209;2.079;2.586;
2018;Octubre;205;2.056;2.544;
2018;Noviembre;226;2.002;2.496;
2018;Diciembre;197;2.016;2.471;
2019;Enero;189;2.072;2.517;
2019;Febrero;209;2.050;2.520;
2019;Marzo;199;2.006;2.528;
2019;Abril;190;1.897;2.485;
2019;Mayo;178;1.839;2.470;
2019;Junio;158;1.863;2.457;
2019;Julio;151;1.963;2.549;
2019;Agosto;155;1.961;2.470;
2019;Septiembre;221;1.864;2.461;
2019;Octubre;238;1.923;2.463;
2019;Noviembre;228;1.917;2.467;
2019;Diciembre;194;1.961;2.488;
2020;Enero;214;2.056;2.528;
2020;Febrero;226;2.039;2.567;
2020;Marzo;233;2.163;2.564;
2020;Abril;288;2.551;2.702;
2020;Mayo;285;2.764;2.752;
2020;Junio;249;2.785;2.812;
2020;Julio;268;2.857;2.900;
2020;Agosto;265;2.863;2.914;
2020;Septiembre;295;2.728;2.847;
2020;Octubre;306;2.775;2.912;
2020;Noviembre;312;2.714;2.937;
2020;Diciembre;336;2.705;2.943;
2021;Enero;319;2.741;2.962;
2021;Febrero;338;2.742;3.021;
2021;Marzo;312;2.646;3.006;
2021;Abril;313;2.606;3.028;
2021;Mayo;234;2.519;2.983;
2021;Junio;247;2.460;2.949;
2021;Julio;231;2.477;2.937;
2021;Agosto;221;2.497;2.969;
2021;Septiembre;222;2.345;2.966;
2021;Octubre;213;2.173;2.905;
2021;Noviembre;205;2.082;2.869;
2021;Diciembre;145;1.877;2.741;
2022;Enero;144;1.773;2.677;
2022;Febrero;144;1.633;2.541;
2022;Marzo;161;1.585;2.506;
2022;Abril;158;1.528;2.463;
2022;Mayo;113;1.454;2.388;
2022;Junio;123;1.471;2.394;
2022;Julio;107;1.477;2.339;
2022;Agosto;107;1.477;2.339;
2022;Septiembre;126;1.423;2.321;
2022;Octubre;125;1.412;2.327;
2022;Noviembre;139;1.383;2.324;
2022;Diciembre;141;1.307;2.282;
2023;Enero;136;1.389;2.315;
2023;Febrero;145;1.444;2.318;
2023;Marzo;153;1.445;2.302;
2023;Abril;130;1.409;2.267;
2023;Mayo;117;1.407;2.249;
2023;Junio;125;1.347;2.249;
2023;Julio;124;1.397;2.265;
2023;Agosto;127;1.466;2.239;
2023;Septiembre;162;1.473;2.228;
2023;Octubre;169;1.433;2.216;
2023;Noviembre;187;1.413;2.223;
2023;Diciembre;165;1.418;2.230;
2024;Enero;177;1.492;2.267;
2024;Febrero;182;1.521;2.212;
2024;Marzo;163;1.482;2.243;
2024;Abril;148;1.495;2.229;
2024;Mayo;131;1.405;2.159;
2024;Junio;130;1.416;2.134;
2024;Julio;137;1.488;2.128;
2024;Agosto;156;1.522;2.140;
2024;Septiembre;185;1.495;2.116;
2024;Octubre;177;1.410;2.091;
2024;Noviembre;172;1.728;2.686;
2024;Diciembre;149;1.502;2.252;
2025;Enero;159;1.487;2.306;
2025;Febrero;159;1.496;2.181;
2025;Marzo;165;1.513;2.066;
2025;Abril;127;1.494;2.075;
2025;Mayo;118;1.448;2.011;
2025;Junio;119;1.409;1.982;
2025;Julio;116;1.479;1.996;
2025;Agosto;118;1.511;2.035;
2025;Septiembre;146;1.473;1.988;
2025;Octubre;151;1.489;1.997;
2025;Noviembre;154;1.438;2.021;
2025;Diciembre;124;1.489;2.043;
2026;Enero;143;1.501;2.059;
2026;Febrero;148;1.547;2.029;
