El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Chamberí;Madrid;
2015;Enero;7,67;11,24;
2015;Febrero;7,72;11,3;
2015;Marzo;7,63;11,24;
2015;Abril;7,46;10,97;
2015;Mayo;7,26;10,62;
2015;Junio;6,89;10,33;
2015;Julio;6,95;10,25;
2015;Agosto;7,16;10,39;
2015;Septiembre;7,02;10,35;
2015;Octubre;7;10,4;
2015;Noviembre;6,89;10,27;
2015;Diciembre;6,84;10,07;
2016;Enero;6,96;10,23;
2016;Febrero;6,95;10,27;
2016;Marzo;6,9;10,22;
2016;Abril;6,75;10,02;
2016;Mayo;6,56;9,72;
2016;Junio;6,45;9,56;
2016;Julio;6,47;9,46;
2016;Agosto;6,56;9,57;
2016;Septiembre;6,38;9,46;
2016;Octubre;6,31;9,46;
2016;Noviembre;6,28;9,34;
2016;Diciembre;6,13;9,09;
2017;Enero;6,22;9,29;
2017;Febrero;6,26;9,35;
2017;Marzo;6,12;9,2;
2017;Abril;5,92;8,95;
2017;Mayo;5,83;8,74;
2017;Junio;5,73;8,6;
2017;Julio;5,8;8,63;
2017;Agosto;5,95;8,74;
2017;Septiembre;5,92;8,7;
2017;Octubre;5,92;8,7;
2017;Noviembre;5,76;8,48;
2017;Diciembre;5,68;8,28;
2018;Enero;5,84;8,53;
2018;Febrero;5,82;8,57;
2018;Marzo;5,74;8,48;
2018;Abril;5,57;8,3;
2018;Mayo;5,46;8,05;
2018;Junio;5,3;7,85;
2018;Julio;5,35;7,85;
2018;Agosto;5,45;7,91;
2018;Septiembre;5,42;7,87;
2018;Octubre;5,33;7,81;
2018;Noviembre;5,22;7,67;
2018;Diciembre;5,16;7,48;
2019;Enero;5,26;7,73;
2019;Febrero;5,27;7,82;
2019;Marzo;5,22;7,8;
2019;Abril;5,04;7,66;
2019;Mayo;4,94;7,48;
2019;Junio;4,92;7,35;
2019;Julio;5,12;7,37;
2019;Agosto;5,03;7,49;
2019;Septiembre;4,97;7,43;
2019;Octubre;5,06;7,52;
2019;Noviembre;5,01;7,45;
2019;Diciembre;5,03;7,3;
2020;Enero;5,2;7,54;
2020;Febrero;5,24;7,57;
2020;Marzo;5,37;7,8;
2020;Abril;6,01;8,74;
2020;Mayo;6,3;9,14;
2020;Junio;6,35;9,16;
2020;Julio;6,59;9,37;
2020;Agosto;6,6;9,5;
2020;Septiembre;6,43;9,36;
2020;Octubre;6,57;9,51;
2020;Noviembre;6,53;9,51;
2020;Diciembre;6,57;9,54;
2021;Enero;6,61;9,71;
2021;Febrero;6,73;9,87;
2021;Marzo;6,65;9,83;
2021;Abril;6,63;9,72;
2021;Mayo;6,4;9,48;
2021;Junio;6,33;9,29;
2021;Julio;6,31;9,14;
2021;Agosto;6,35;9,17;
2021;Septiembre;6,17;8,95;
2021;Octubre;5,89;8,71;
2021;Noviembre;5,72;8,51;
2021;Diciembre;5,27;7,91;
2022;Enero;5,13;7,74;
2022;Febrero;4,82;7,33;
2022;Marzo;4,74;7,28;
2022;Abril;4,61;7,01;
2022;Mayo;4,39;6,68;
2022;Junio;4,42;6,5;
2022;Julio;4,34;6,56;
2022;Agosto;4,42;6,6;
2022;Septiembre;4,3;6,6;
2022;Octubre;4,26;6,57;
2022;Noviembre;4,22;6,42;
2022;Diciembre;4,11;6,33;
2023;Enero;4,24;6,56;
2023;Febrero;4,31;6,67;
2023;Marzo;4,3;6,72;
2023;Abril;4,2;6,59;
2023;Mayo;4,12;6,38;
2023;Junio;4,06;6,32;
2023;Julio;4,1;6,2;
2023;Agosto;4,14;6,23;
2023;Septiembre;4,18;6,26;
2023;Octubre;4,11;6,23;
2023;Noviembre;4,11;6,13;
2023;Diciembre;4,06;6,02;
2024;Enero;4,19;6,23;
2024;Febrero;4,15;6,22;
2024;Marzo;4,12;6,24;
2024;Abril;4,1;6,07;
2024;Mayo;3,9;5,94;
2024;Junio;3,9;5,84;
2024;Julio;3,97;5,83;
2024;Agosto;4,05;5,87;
2024;Septiembre;4,02;5,87;
2024;Octubre;3,87;5,85;
2024;Noviembre;3,91;5,76;
2024;Diciembre;4,08;5,68;
2025;Enero;4,14;5,75;
2025;Febrero;4,02;5,84;
2025;Marzo;3,93;5,89;
2025;Abril;3,9;5,82;
2025;Mayo;3,81;5,69;
2025;Junio;3,75;5,57;
2025;Julio;3,84;5,59;
2025;Agosto;3,95;5,7;
2025;Septiembre;3,9;5,66;
2025;Octubre;3,91;5,71;
2025;Noviembre;3,89;5,64;
2025;Diciembre;3,92;5,61;
2026;Enero;3,97;5,69;
2026;Febrero;4;5,76;
