El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Chamberí;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;125,58;71;
2011;Anual;123,73;69,87;
2012;Anual;123,11;70,49;
2013;Anual;129,44;73;
2014;Anual;129,15;73,66;
2015;Anual;127,28;76,17;
2016;Anual;131,97;79,58;
2017;Anual;138,52;81,08;
2018;Anual;139,18;83,22;
2019;Anual;142,23;85,23;
2020;Anual;148,32;85,5;
2021;Anual;146,98;83,51;
2022;Anual;158,8;88,8;
2023;Anual;173,99;91,68;
