El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Chamberí;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;9,85;8;
2011;Anual;10,12;8,38;
2012;Anual;8,9;8,52;
2013;Anual;9,33;9;
2014;Anual;10,75;8,85;
2015;Anual;11,32;9,26;
2016;Anual;11,04;9,39;
2017;Anual;12,06;9,54;
2018;Anual;9,16;9,62;
2019;Anual;13,18;8,96;
2020;Anual;13,46;8,95;
2021;Anual;13,19;8,87;
2022;Anual;13,28;9,02;
2023;Anual;13,32;9,8;
2024;Anual;;;
2025;Anual;;9;
