El municipio en cifras
Parados registrados
Año;Periodos;Chamberí;
2012;Diciembre;7881;
2013;Enero;8026;
2013;Febrero;8069;
2013;Marzo;8076;
2013;Abril;7932;
2013;Mayo;7911;
2013;Junio;7698;
2013;Julio;7760;
2013;Agosto;7736;
2013;Septiembre;7630;
2013;Octubre;7628;
2013;Noviembre;7577;
2013;Diciembre;7416;
2014;Enero;7659;
2014;Febrero;7537;
2014;Marzo;7477;
2014;Abril;7235;
2014;Mayo;7064;
2014;Junio;6855;
2014;Julio;7057;
2014;Agosto;7034;
2014;Septiembre;6979;
2014;Octubre;7008;
2014;Noviembre;6882;
2014;Diciembre;6785;
2015;Enero;6840;
2015;Febrero;6882;
2015;Marzo;6793;
2015;Abril;6632;
2015;Mayo;6443;
2015;Junio;6128;
2015;Julio;6188;
2015;Agosto;6338;
2015;Septiembre;6208;
2015;Octubre;6232;
2015;Noviembre;6155;
2015;Diciembre;6111;
2016;Enero;6222;
2016;Febrero;6214;
2016;Marzo;6153;
2016;Abril;6025;
2016;Mayo;5873;
2016;Junio;5743;
2016;Julio;5765;
2016;Agosto;5827;
2016;Septiembre;5672;
2016;Octubre;5598;
2016;Noviembre;5581;
2016;Diciembre;5466;
2017;Enero;5549;
2017;Febrero;5575;
2017;Marzo;5461;
2017;Abril;5265;
2017;Mayo;5182;
2017;Junio;5101;
2017;Julio;5175;
2017;Agosto;5295;
2017;Septiembre;5267;
2017;Octubre;5228;
2017;Noviembre;5167;
2017;Diciembre;5098;
2018;Enero;5251;
2018;Febrero;5241;
2018;Marzo;5165;
2018;Abril;5004;
2018;Mayo;4916;
2018;Junio;4763;
2018;Julio;4802;
2018;Agosto;4895;
2018;Septiembre;4874;
2018;Octubre;4805;
2018;Noviembre;4724;
2018;Diciembre;4684;
2019;Enero;4778;
2019;Febrero;4779;
2019;Marzo;4733;
2019;Abril;4572;
2019;Mayo;4487;
2019;Junio;4478;
2019;Julio;4663;
2019;Agosto;4586;
2019;Septiembre;4546;
2019;Octubre;4624;
2019;Noviembre;4612;
2019;Diciembre;4643;
2020;Enero;4798;
2020;Febrero;4832;
2020;Marzo;4960;
2020;Abril;5541;
2020;Mayo;5801;
2020;Junio;5846;
2020;Julio;6025;
2020;Agosto;6042;
2020;Septiembre;5870;
2020;Octubre;5993;
2020;Noviembre;5963;
2020;Diciembre;5984;
2021;Enero;6022;
2021;Febrero;6101;
2021;Marzo;5964;
2021;Abril;5947;
2021;Mayo;5736;
2021;Junio;5656;
2021;Julio;5645;
2021;Agosto;5687;
2021;Septiembre;5533;
2021;Octubre;5291;
2021;Noviembre;5156;
2021;Diciembre;4763;
2022;Enero;4594;
2022;Febrero;4318;
2022;Marzo;4252;
2022;Abril;4149;
2022;Mayo;3955;
2022;Junio;3988;
2022;Julio;3923;
2022;Agosto;3923;
2022;Septiembre;3870;
2022;Octubre;3864;
2022;Noviembre;3846;
2022;Diciembre;3730;
2023;Enero;3840;
2023;Febrero;3907;
2023;Marzo;3900;
2023;Abril;3806;
2023;Mayo;3773;
2023;Junio;3721;
2023;Julio;3786;
2023;Agosto;3832;
2023;Septiembre;3863;
2023;Octubre;3818;
2023;Noviembre;3823;
2023;Diciembre;3813;
2024;Enero;3936;
2024;Febrero;3915;
2024;Marzo;3888;
2024;Abril;3872;
2024;Mayo;3695;
2024;Junio;3680;
2024;Julio;3753;
2024;Agosto;3818;
2024;Septiembre;3796;
2024;Octubre;3678;
2024;Noviembre;4586;
2024;Diciembre;3903;
2025;Enero;3952;
2025;Febrero;3836;
2025;Marzo;3744;
2025;Abril;3696;
2025;Mayo;3577;
2025;Junio;3510;
2025;Julio;3591;
2025;Agosto;3664;
2025;Septiembre;3607;
2025;Octubre;3637;
2025;Noviembre;3613;
2025;Diciembre;3656;
2026;Enero;3703;
2026;Febrero;3724;
