El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Fuencarral - El Pardo;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;3.176;6.095;9.271;42.053;92.109;134.162
2; 80 - 84;3.872;5.379;9.251;42.412;68.809;111.221
3; 75 - 79;5.202;7.186;12.388;53.602;80.108;133.710
4; 70 - 74;5.083;7.024;12.107;60.418;83.243;143.661
5; 65 - 69;5.685;7.416;13.101;80.493;102.569;183.062
6; 60 - 64;6.635;8.030;14.665;102.853;122.998;225.851
7; 55 - 59;7.694;8.485;16.179;116.074;132.847;248.921
8; 50 - 54;9.718;10.379;20.097;126.476;138.636;265.112
9; 45 - 49;10.305;11.242;21.547;130.316;139.236;269.552
10; 40 - 44;8.788;9.512;18.300;122.467;127.825;250.292
11; 35 - 39;7.696;8.343;16.039;122.464;125.667;248.131
12; 30 - 34;7.218;7.592;14.810;133.726;137.801;271.527
13; 25 - 29;6.652;6.996;13.648;124.072;132.589;256.661
14; 20 - 24;6.311;6.361;12.672;100.514;102.254;202.768
15; 15 - 19;7.345;6.844;14.189;84.747;81.427;166.174
16; 10 - 14;7.734;7.296;15.030;77.909;75.033;152.942
17; 5 - 9;6.729;6.379;13.108;71.169;68.166;139.335
18; 0 - 4;5.779;5.314;11.093;63.996;60.839;124.835
