El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Fuencarral - El Pardo;Madrid;
2005;Anual;14;13,59;
2006;Anual;14;13,6;
2007;Anual;14,22;13,72;
2008;Anual;14,61;13,87;
2009;Anual;15,06;14,05;
2010;Anual;15,53;14,19;
2011;Anual;15,86;14,29;
2012;Anual;16,25;14,4;
2013;Anual;16,62;14,46;
2014;Anual;16,9;14,48;
2015;Anual;17,21;14,5;
2016;Anual;17,52;14,51;
2017;Anual;17,79;14,49;
2018;Anual;17,89;14,37;
2019;Anual;17,97;14,22;
2020;Anual;17,88;13,98;
2021;Anual;17,74;13,76;
2022;Anual;17,52;13,55;
2023;Anual;17,15;13,29;
2024;Anual;16,83;13,03;
2025;Anual;16,41;12,74;
