El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Fuencarral - El Pardo;Madrid;
2005;Anual;69,8;67,8;
2006;Anual;69,2;67,7;
2007;Anual;68,9;67,5;
2008;Anual;68,6;67,5;
2009;Anual;68;67,4;
2010;Anual;67,1;67;
2011;Anual;66,3;66,7;
2012;Anual;65,4;66,2;
2013;Anual;64,4;65,9;
2014;Anual;63,4;65,3;
2015;Anual;62,6;65;
2016;Anual;62;65;
2017;Anual;61,6;65,1;
2018;Anual;61,4;65,2;
2019;Anual;61,23;65,53;
2020;Anual;61,25;65,96;
2021;Anual;61,2;66,21;
2022;Anual;60,99;66,17;
2023;Anual;61,23;66,51;
2024;Anual;61,51;67,01;
2025;Anual;61,79;67,25;
