El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Fuencarral - El Pardo;Madrid;
2005;Anual;16,25;18,62;
2006;Anual;16,74;18,74;
2007;Anual;16,85;18,76;
2008;Anual;16,79;18,58;
2009;Anual;16,95;18,58;
2010;Anual;17,32;18,77;
2011;Anual;17,84;19,04;
2012;Anual;18,37;19,36;
2013;Anual;18,94;19,67;
2014;Anual;19,66;20,18;
2015;Anual;20,2;20,49;
2016;Anual;20,5;20,46;
2017;Anual;20,63;20,46;
2018;Anual;20,68;20,39;
2019;Anual;20,8;20,26;
2020;Anual;20,87;20,06;
2021;Anual;21,06;20,03;
2022;Anual;21,49;20,28;
2023;Anual;21,62;20,2;
2024;Anual;21,66;19,97;
2025;Anual;21,79;20,01;
