El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Fuencarral - El Pardo;Madrid;
2005;Anual;25,03;26,61;
2006;Anual;25,01;27,11;
2007;Anual;25,74;28,12;
2008;Anual;26,11;28,96;
2009;Anual;26,39;29,9;
2010;Anual;26,63;30,78;
2011;Anual;27,14;31,72;
2012;Anual;27,41;32,61;
2013;Anual;27,78;33,51;
2014;Anual;28,06;34,33;
2015;Anual;28,4;35,02;
2016;Anual;28,62;35,49;
2017;Anual;29,43;36,1;
2018;Anual;29,66;36,19;
2019;Anual;29,9;36;
2020;Anual;29,4;35,2;
2021;Anual;29,9;35,4;
2022;Anual;30,4;35;
2023;Anual;30,79;34,59;
2024;Anual;31,9;34,7;
2025;Anual;33,01;34,76;
