El municipio en cifras
Índice de feminidad
Año;Periodos;Fuencarral - El Pardo;Madrid;
2005;Anual;111,7;112,8;
2006;Anual;111,7;112,5;
2007;Anual;111,8;112,6;
2008;Anual;111,9;112,4;
2009;Anual;112,2;112,3;
2010;Anual;112,5;112,7;
2011;Anual;112,4;113,3;
2012;Anual;112,4;114;
2013;Anual;112,7;114,5;
2014;Anual;112,5;114,8;
2015;Anual;112,6;115;
2016;Anual;112,5;114,9;
2017;Anual;112,2;114,8;
2018;Anual;112,3;114,7;
2019;Anual;112,5;114,7;
2020;Anual;112,5;114,5;
2021;Anual;112,6;114,4;
2022;Anual;112,4;114,1;
2023;Anual;112,4;114,1;
2024;Anual;112,1;113,5;
2025;Anual;111,7;113,1;
