El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Fuencarral - El Pardo;Madrid;
2005;Anual;10,7;16,3;
2006;Anual;11,7;17,9;
2007;Anual;11,8;18,4;
2008;Anual;13,1;19,8;
2009;Anual;13,9;20,8;
2010;Anual;14,1;21,1;
2011;Anual;14;21,1;
2012;Anual;13,5;20,4;
2013;Anual;13,2;20,2;
2014;Anual;12,7;19,5;
2015;Anual;12,4;19,3;
2016;Anual;12,6;19,7;
2017;Anual;12,9;20,1;
2018;Anual;13,59;21,03;
2019;Anual;14,26;22,16;
2020;Anual;15,1;23,61;
2021;Anual;15,31;24,32;
2022;Anual;15,33;24,62;
2023;Anual;16,43;26,3;
2024;Anual;17,89;28,76;
2025;Anual;18,81;30,22;
