El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Fuencarral - El Pardo;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;8,44;14,29;
2006;Anual;9,33;15,82;
2007;Anual;9,25;15,86;
2008;Anual;10,2;16,9;
2009;Anual;10,82;17,47;
2010;Anual;10,84;17,34;
2011;Anual;10,64;16,93;
2012;Anual;9,6;15,43;
2013;Anual;8,87;14,41;
2014;Anual;7,99;13,14;
2015;Anual;7,22;12,07;
2016;Anual;7,19;12,19;
2017;Anual;7,42;12,41;
2018;Anual;7,92;13,12;
2019;Anual;8,49;14,1;
2020;Anual;9,15;15,32;
2021;Anual;9,22;15,82;
2022;Anual;8,98;15,74;
2023;Anual;9,81;17,08;
2024;Anual;10,91;18,99;
2025;Anual;11,49;19,99;
