El municipio en cifras
Población
Año;Periodos;Fuencarral - El Pardo;
1987;Anual;199415;
1988;Anual;201655;
1989;Anual;203922;
1990;Anual;207239;
1991;Anual;206499;
1992;Anual;207504;
1993;Anual;209849;
1994;Anual;210810;
1995;Anual;210066;
1996;Anual;199253;
1997;Anual;200713;
1998;Anual;202172;
1999;Anual;204000;
2000;Anual;203788;
2001;Anual;206793;
2002;Anual;207748;
2003;Anual;210583;
2004;Anual;209361;
2005;Anual;206688;
2006;Anual;209255;
2007;Anual;212710;
2008;Anual;220085;
2009;Anual;225954;
2010;Anual;229758;
2011;Anual;231897;
2012;Anual;232924;
2013;Anual;233852;
2014;Anual;232651;
2015;Anual;232889;
2016;Anual;235482;
2017;Anual;238756;
2018;Anual;242928;
2019;Anual;246021;
2020;Anual;249973;
2021;Anual;247692;
2022;Anual;246281;
2023;Anual;248443;
2024;Anual;253898;
2025;Anual;257495;
