El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Fuencarral - El Pardo;Madrid;
2015;Enero;8,56;11,24;
2015;Febrero;8,53;11,3;
2015;Marzo;8,41;11,24;
2015;Abril;8,22;10,97;
2015;Mayo;8,01;10,62;
2015;Junio;7,85;10,33;
2015;Julio;7,83;10,25;
2015;Agosto;8,01;10,39;
2015;Septiembre;7,89;10,35;
2015;Octubre;7,94;10,4;
2015;Noviembre;7,77;10,27;
2015;Diciembre;7,56;10,07;
2016;Enero;7,65;10,23;
2016;Febrero;7,7;10,27;
2016;Marzo;7,69;10,22;
2016;Abril;7,53;10,02;
2016;Mayo;7,39;9,72;
2016;Junio;7,23;9,56;
2016;Julio;7,22;9,46;
2016;Agosto;7,36;9,57;
2016;Septiembre;7,23;9,46;
2016;Octubre;7,22;9,46;
2016;Noviembre;7,07;9,34;
2016;Diciembre;6,88;9,09;
2017;Enero;7,12;9,29;
2017;Febrero;7,07;9,35;
2017;Marzo;6,94;9,2;
2017;Abril;6,77;8,95;
2017;Mayo;6,62;8,74;
2017;Junio;6,49;8,6;
2017;Julio;6,56;8,63;
2017;Agosto;6,66;8,74;
2017;Septiembre;6,58;8,7;
2017;Octubre;6,58;8,7;
2017;Noviembre;6,39;8,48;
2017;Diciembre;6,28;8,28;
2018;Enero;6,44;8,53;
2018;Febrero;6,53;8,57;
2018;Marzo;6,37;8,48;
2018;Abril;6,23;8,3;
2018;Mayo;6,07;8,05;
2018;Junio;5,91;7,85;
2018;Julio;5,91;7,85;
2018;Agosto;5,97;7,91;
2018;Septiembre;5,97;7,87;
2018;Octubre;5,91;7,81;
2018;Noviembre;5,8;7,67;
2018;Diciembre;5,65;7,48;
2019;Enero;5,86;7,73;
2019;Febrero;5,95;7,82;
2019;Marzo;5,91;7,8;
2019;Abril;5,87;7,66;
2019;Mayo;5,76;7,48;
2019;Junio;5,66;7,35;
2019;Julio;5,71;7,37;
2019;Agosto;5,85;7,49;
2019;Septiembre;5,77;7,43;
2019;Octubre;5,83;7,52;
2019;Noviembre;5,79;7,45;
2019;Diciembre;5,66;7,3;
2020;Enero;5,79;7,54;
2020;Febrero;5,82;7,57;
2020;Marzo;5,9;7,8;
2020;Abril;6,48;8,74;
2020;Mayo;6,72;9,14;
2020;Junio;6,8;9,16;
2020;Julio;7,02;9,37;
2020;Agosto;7,16;9,5;
2020;Septiembre;7;9,36;
2020;Octubre;7,14;9,51;
2020;Noviembre;7,11;9,51;
2020;Diciembre;7,2;9,54;
2021;Enero;7,29;9,71;
2021;Febrero;7,41;9,87;
2021;Marzo;7,32;9,83;
2021;Abril;7,25;9,72;
2021;Mayo;7,15;9,48;
2021;Junio;7,06;9,29;
2021;Julio;7,03;9,14;
2021;Agosto;7,15;9,17;
2021;Septiembre;6,97;8,95;
2021;Octubre;6,76;8,71;
2021;Noviembre;6,6;8,51;
2021;Diciembre;6,12;7,91;
2022;Enero;5,89;7,74;
2022;Febrero;5,63;7,33;
2022;Marzo;5,6;7,28;
2022;Abril;5,43;7,01;
2022;Mayo;5,18;6,68;
2022;Junio;5,05;6,5;
2022;Julio;5,18;6,56;
2022;Agosto;5,25;6,6;
2022;Septiembre;5,15;6,6;
2022;Octubre;5,12;6,57;
2022;Noviembre;5,05;6,42;
2022;Diciembre;4,95;6,33;
2023;Enero;5,09;6,56;
2023;Febrero;5,11;6,67;
2023;Marzo;5,17;6,72;
2023;Abril;5,04;6,59;
2023;Mayo;4,9;6,38;
2023;Junio;4,89;6,32;
2023;Julio;4,89;6,2;
2023;Agosto;4,89;6,23;
2023;Septiembre;4,92;6,26;
2023;Octubre;4,91;6,23;
2023;Noviembre;4,8;6,13;
2023;Diciembre;4,74;6,02;
2024;Enero;4,82;6,23;
2024;Febrero;4,79;6,22;
2024;Marzo;4,81;6,24;
2024;Abril;4,68;6,07;
2024;Mayo;4,6;5,94;
2024;Junio;4,5;5,84;
2024;Julio;4,58;5,83;
2024;Agosto;4,67;5,87;
2024;Septiembre;4,68;5,87;
2024;Octubre;4,64;5,85;
2024;Noviembre;4,6;5,76;
2024;Diciembre;4,44;5,68;
2025;Enero;4,52;5,75;
2025;Febrero;4,54;5,84;
2025;Marzo;4,61;5,89;
2025;Abril;4,52;5,82;
2025;Mayo;4,41;5,69;
2025;Junio;4,31;5,57;
2025;Julio;4,39;5,59;
2025;Agosto;4,48;5,7;
2025;Septiembre;4,46;5,66;
2025;Octubre;4,47;5,71;
2025;Noviembre;4,46;5,64;
2025;Diciembre;4,41;5,61;
2026;Enero;4,41;5,69;
2026;Febrero;4,47;5,76;
