El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Fuencarral - El Pardo;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;37,34;71;
2011;Anual;40,66;69,87;
2012;Anual;43,58;70,49;
2013;Anual;49,17;73;
2014;Anual;50,8;73,66;
2015;Anual;54,55;76,17;
2016;Anual;57,46;79,58;
2017;Anual;61,47;81,08;
2018;Anual;62,39;83,22;
2019;Anual;68,33;85,23;
2020;Anual;69,7;85,5;
2021;Anual;68,27;83,51;
2022;Anual;86,03;88,8;
2023;Anual;89,12;91,68;
