El municipio en cifras
Parados registrados
Año;Periodos;Fuencarral - El Pardo;
2012;Diciembre;13657;
2013;Enero;14111;
2013;Febrero;14151;
2013;Marzo;14215;
2013;Abril;14192;
2013;Mayo;14029;
2013;Junio;13696;
2013;Julio;13986;
2013;Agosto;14016;
2013;Septiembre;13697;
2013;Octubre;13825;
2013;Noviembre;13757;
2013;Diciembre;13366;
2014;Enero;13570;
2014;Febrero;13664;
2014;Marzo;13641;
2014;Abril;13425;
2014;Mayo;12996;
2014;Junio;12600;
2014;Julio;12864;
2014;Agosto;12893;
2014;Septiembre;12711;
2014;Octubre;12719;
2014;Noviembre;12560;
2014;Diciembre;12364;
2015;Enero;12518;
2015;Febrero;12485;
2015;Marzo;12299;
2015;Abril;12029;
2015;Mayo;11723;
2015;Junio;11505;
2015;Julio;11486;
2015;Agosto;11717;
2015;Septiembre;11543;
2015;Octubre;11643;
2015;Noviembre;11404;
2015;Diciembre;11071;
2016;Enero;11201;
2016;Febrero;11290;
2016;Marzo;11249;
2016;Abril;11037;
2016;Mayo;10856;
2016;Junio;10621;
2016;Julio;10615;
2016;Agosto;10810;
2016;Septiembre;10644;
2016;Octubre;10624;
2016;Noviembre;10416;
2016;Diciembre;10155;
2017;Enero;10493;
2017;Febrero;10439;
2017;Marzo;10254;
2017;Abril;10010;
2017;Mayo;9805;
2017;Junio;9627;
2017;Julio;9745;
2017;Agosto;9890;
2017;Septiembre;9774;
2017;Octubre;9741;
2017;Noviembre;9549;
2017;Diciembre;9386;
2018;Enero;9644;
2018;Febrero;9803;
2018;Marzo;9569;
2018;Abril;9355;
2018;Mayo;9123;
2018;Junio;8893;
2018;Julio;8893;
2018;Agosto;8994;
2018;Septiembre;8988;
2018;Octubre;8907;
2018;Noviembre;8749;
2018;Diciembre;8547;
2019;Enero;8851;
2019;Febrero;8993;
2019;Marzo;8928;
2019;Abril;8878;
2019;Mayo;8726;
2019;Junio;8599;
2019;Julio;8705;
2019;Agosto;8931;
2019;Septiembre;8821;
2019;Octubre;8915;
2019;Noviembre;8879;
2019;Diciembre;8691;
2020;Enero;8898;
2020;Febrero;8951;
2020;Marzo;9075;
2020;Abril;9965;
2020;Mayo;10325;
2020;Junio;10462;
2020;Julio;10771;
2020;Agosto;10988;
2020;Septiembre;10738;
2020;Octubre;10930;
2020;Noviembre;10881;
2020;Diciembre;10978;
2021;Enero;11124;
2021;Febrero;11271;
2021;Marzo;11067;
2021;Abril;10985;
2021;Mayo;10830;
2021;Junio;10672;
2021;Julio;10636;
2021;Agosto;10817;
2021;Septiembre;10533;
2021;Octubre;10214;
2021;Noviembre;9963;
2021;Diciembre;9260;
2022;Enero;8880;
2022;Febrero;8500;
2022;Marzo;8463;
2022;Abril;8233;
2022;Mayo;7879;
2022;Junio;7693;
2022;Julio;7902;
2022;Agosto;7902;
2022;Septiembre;7842;
2022;Octubre;7822;
2022;Noviembre;7719;
2022;Diciembre;7535;
2023;Enero;7756;
2023;Febrero;7791;
2023;Marzo;7881;
2023;Abril;7679;
2023;Mayo;7536;
2023;Junio;7528;
2023;Julio;7584;
2023;Agosto;7598;
2023;Septiembre;7641;
2023;Octubre;7646;
2023;Noviembre;7476;
2023;Diciembre;7421;
2024;Enero;7562;
2024;Febrero;7537;
2024;Marzo;7594;
2024;Abril;7402;
2024;Mayo;7287;
2024;Junio;7144;
2024;Julio;7274;
2024;Agosto;7406;
2024;Septiembre;7431;
2024;Octubre;7393;
2024;Noviembre;7240;
2024;Diciembre;7096;
2025;Enero;7219;
2025;Febrero;7256;
2025;Marzo;7363;
2025;Abril;7224;
2025;Mayo;7023;
2025;Junio;6859;
2025;Julio;6979;
2025;Agosto;7113;
2025;Septiembre;7077;
2025;Octubre;7104;
2025;Noviembre;7083;
2025;Diciembre;7006;
2026;Enero;7019;
2026;Febrero;7109;
