El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Moncloa - Aravaca;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;1.629;3.776;5.405;42.053;92.109;134.162
2; 80 - 84;1.694;2.632;4.326;42.412;68.809;111.221
3; 75 - 79;2.372;3.199;5.571;53.602;80.108;133.710
4; 70 - 74;2.573;3.401;5.974;60.418;83.243;143.661
5; 65 - 69;3.165;3.934;7.099;80.493;102.569;183.062
6; 60 - 64;3.874;4.522;8.396;102.853;122.998;225.851
7; 55 - 59;4.209;4.852;9.061;116.074;132.847;248.921
8; 50 - 54;4.269;4.755;9.024;126.476;138.636;265.112
9; 45 - 49;4.257;4.635;8.892;130.316;139.236;269.552
10; 40 - 44;3.934;4.227;8.161;122.467;127.825;250.292
11; 35 - 39;3.627;3.965;7.592;122.464;125.667;248.131
12; 30 - 34;3.905;4.239;8.144;133.726;137.801;271.527
13; 25 - 29;4.203;4.704;8.907;124.072;132.589;256.661
14; 20 - 24;4.009;4.297;8.306;100.514;102.254;202.768
15; 15 - 19;3.285;3.239;6.524;84.747;81.427;166.174
16; 10 - 14;2.919;2.808;5.727;77.909;75.033;152.942
17; 5 - 9;2.653;2.596;5.249;71.169;68.166;139.335
18; 0 - 4;2.397;2.223;4.620;63.996;60.839;124.835
