El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Moncloa - Aravaca;Madrid;
2005;Anual;14,49;13,59;
2006;Anual;14,49;13,6;
2007;Anual;14,82;13,72;
2008;Anual;15,01;13,87;
2009;Anual;15,08;14,05;
2010;Anual;15,07;14,19;
2011;Anual;15,09;14,29;
2012;Anual;15,16;14,4;
2013;Anual;15,17;14,46;
2014;Anual;15,14;14,48;
2015;Anual;15,04;14,5;
2016;Anual;14,92;14,51;
2017;Anual;14,88;14,49;
2018;Anual;14,73;14,37;
2019;Anual;14,52;14,22;
2020;Anual;14,32;13,98;
2021;Anual;14,1;13,76;
2022;Anual;13,95;13,55;
2023;Anual;13,8;13,29;
2024;Anual;13,54;13,03;
2025;Anual;13,2;12,74;
