El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Moncloa - Aravaca;Madrid;
2005;Anual;67,5;67,8;
2006;Anual;67,3;67,7;
2007;Anual;66,6;67,5;
2008;Anual;66,3;67,5;
2009;Anual;66,1;67,4;
2010;Anual;65,9;67;
2011;Anual;65,5;66,7;
2012;Anual;64,9;66,2;
2013;Anual;64,6;65,9;
2014;Anual;64;65,3;
2015;Anual;63,7;65;
2016;Anual;63,6;65;
2017;Anual;63,4;65,1;
2018;Anual;63,4;65,2;
2019;Anual;63,58;65,53;
2020;Anual;63,87;65,96;
2021;Anual;64,02;66,21;
2022;Anual;63,88;66,17;
2023;Anual;63,97;66,51;
2024;Anual;64,29;67,01;
2025;Anual;64,45;67,25;
