El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Moncloa - Aravaca;Madrid;
2005;Anual;17,97;18,62;
2006;Anual;18,2;18,74;
2007;Anual;18,6;18,76;
2008;Anual;18,7;18,58;
2009;Anual;18,8;18,58;
2010;Anual;19,06;18,77;
2011;Anual;19,39;19,04;
2012;Anual;19,94;19,36;
2013;Anual;20,25;19,67;
2014;Anual;20,88;20,18;
2015;Anual;21,23;20,49;
2016;Anual;21,44;20,46;
2017;Anual;21,69;20,46;
2018;Anual;21,83;20,39;
2019;Anual;21,9;20,26;
2020;Anual;21,81;20,06;
2021;Anual;21,88;20,03;
2022;Anual;22,17;20,28;
2023;Anual;22,24;20,2;
2024;Anual;22,17;19,97;
2025;Anual;22,35;20,01;
