El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Moncloa - Aravaca;Madrid;
2005;Anual;29,7;26,61;
2006;Anual;30,24;27,11;
2007;Anual;30,89;28,12;
2008;Anual;31,34;28,96;
2009;Anual;32;29,9;
2010;Anual;32,62;30,78;
2011;Anual;33,13;31,72;
2012;Anual;33,33;32,61;
2013;Anual;33,62;33,51;
2014;Anual;34,29;34,33;
2015;Anual;34,91;35,02;
2016;Anual;35,13;35,49;
2017;Anual;35,34;36,1;
2018;Anual;35,22;36,19;
2019;Anual;34,9;36;
2020;Anual;34,3;35,2;
2021;Anual;34;35,4;
2022;Anual;33,9;35;
2023;Anual;33,78;34,59;
2024;Anual;34;34,7;
2025;Anual;34,29;34,76;
