El municipio en cifras
Índice de feminidad
Año;Periodos;Moncloa - Aravaca;Madrid;
2005;Anual;117,6;112,8;
2006;Anual;117,6;112,5;
2007;Anual;118,6;112,6;
2008;Anual;119,2;112,4;
2009;Anual;118,9;112,3;
2010;Anual;119;112,7;
2011;Anual;119,1;113,3;
2012;Anual;119;114;
2013;Anual;119,2;114,5;
2014;Anual;118,6;114,8;
2015;Anual;118,1;115;
2016;Anual;117,8;114,9;
2017;Anual;117,3;114,8;
2018;Anual;117,2;114,7;
2019;Anual;117,4;114,7;
2020;Anual;117,4;114,5;
2021;Anual;117,4;114,4;
2022;Anual;116,9;114,1;
2023;Anual;116;114,1;
2024;Anual;115,5;113,5;
2025;Anual;115,3;113,1;
