El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Moncloa - Aravaca;Madrid;
2005;Anual;14,9;16,3;
2006;Anual;15,9;17,9;
2007;Anual;15,5;18,4;
2008;Anual;16,1;19,8;
2009;Anual;16,8;20,8;
2010;Anual;17,1;21,1;
2011;Anual;17,2;21,1;
2012;Anual;16,4;20,4;
2013;Anual;16,5;20,2;
2014;Anual;16,1;19,5;
2015;Anual;15,8;19,3;
2016;Anual;15,9;19,7;
2017;Anual;15,9;20,1;
2018;Anual;16,13;21,03;
2019;Anual;16,8;22,16;
2020;Anual;17,68;23,61;
2021;Anual;18,19;24,32;
2022;Anual;18,14;24,62;
2023;Anual;19,12;26,3;
2024;Anual;20,88;28,76;
2025;Anual;21,95;30,22;
