El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Moncloa - Aravaca;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;12,27;14,29;
2006;Anual;13,18;15,82;
2007;Anual;12,4;15,86;
2008;Anual;12,61;16,9;
2009;Anual;13,11;17,47;
2010;Anual;13,2;17,34;
2011;Anual;12,97;16,93;
2012;Anual;11,71;15,43;
2013;Anual;11,38;14,41;
2014;Anual;10,71;13,14;
2015;Anual;9,92;12,07;
2016;Anual;9,92;12,19;
2017;Anual;9,87;12,41;
2018;Anual;9,94;13,12;
2019;Anual;10,5;14,1;
2020;Anual;11,27;15,32;
2021;Anual;11,59;15,82;
2022;Anual;11,32;15,74;
2023;Anual;11,99;17,08;
2024;Anual;13,34;18,99;
2025;Anual;14,1;19,99;
