El municipio en cifras
Población
Año;Periodos;Moncloa - Aravaca;
1987;Anual;108093;
1988;Anual;108633;
1989;Anual;109280;
1990;Anual;110060;
1991;Anual;105377;
1992;Anual;105826;
1993;Anual;107088;
1994;Anual;107764;
1995;Anual;107579;
1996;Anual;102022;
1997;Anual;103178;
1998;Anual;104333;
1999;Anual;105244;
2000;Anual;106154;
2001;Anual;109637;
2002;Anual;112278;
2003;Anual;116531;
2004;Anual;118297;
2005;Anual;118815;
2006;Anual;119322;
2007;Anual;117356;
2008;Anual;118068;
2009;Anual;118724;
2010;Anual;118931;
2011;Anual;118705;
2012;Anual;117057;
2013;Anual;117041;
2014;Anual;115713;
2015;Anual;115901;
2016;Anual;116689;
2017;Anual;116903;
2018;Anual;117835;
2019;Anual;119423;
2020;Anual;121683;
2021;Anual;120834;
2022;Anual;120360;
2023;Anual;121757;
2024;Anual;125223;
2025;Anual;126978;
