El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Moncloa - Aravaca;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;83,48;71;
2011;Anual;81,96;69,87;
2012;Anual;89,94;70,49;
2013;Anual;95,49;73;
2014;Anual;120,31;73,66;
2015;Anual;124,73;76,17;
2016;Anual;121,94;79,58;
2017;Anual;125,08;81,08;
2018;Anual;125,27;83,22;
2019;Anual;124,74;85,23;
2020;Anual;128,84;85,5;
2021;Anual;128,37;83,51;
2022;Anual;134,57;88,8;
2023;Anual;137,38;91,68;
