El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Moncloa - Aravaca;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;6,7;8;
2011;Anual;6,89;8,38;
2012;Anual;6,07;8,52;
2013;Anual;6,42;9;
2014;Anual;7,47;8,85;
2015;Anual;8,06;9,26;
2016;Anual;8,14;9,39;
2017;Anual;8,8;9,54;
2018;Anual;6,93;9,62;
2019;Anual;9,71;8,96;
2020;Anual;9,81;8,95;
2021;Anual;9,58;8,87;
2022;Anual;9,57;9,02;
2023;Anual;9,58;9,8;
2024;Anual;;;
2025;Anual;;9;
