El municipio en cifras
Población
Año;Periodos;Latina;
1987;Anual;285016;
1988;Anual;283224;
1989;Anual;281380;
1990;Anual;281062;
1991;Anual;272240;
1992;Anual;271652;
1993;Anual;270973;
1994;Anual;269366;
1995;Anual;267010;
1996;Anual;255741;
1997;Anual;254964;
1998;Anual;254186;
1999;Anual;251558;
2000;Anual;249105;
2001;Anual;253014;
2002;Anual;255545;
2003;Anual;258667;
2004;Anual;259199;
2005;Anual;257431;
2006;Anual;258761;
2007;Anual;256644;
2008;Anual;258476;
2009;Anual;258012;
2010;Anual;255402;
2011;Anual;251569;
2012;Anual;246542;
2013;Anual;243603;
2014;Anual;237953;
2015;Anual;234222;
2016;Anual;234015;
2017;Anual;233808;
2018;Anual;235785;
2019;Anual;238154;
2020;Anual;242139;
2021;Anual;240155;
2022;Anual;237048;
2023;Anual;241672;
2024;Anual;250396;
2025;Anual;254161;
