El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Latina;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;4.444;8.007;12.451;42.053;92.109;134.162
2; 80 - 84;4.437;7.279;11.716;42.412;68.809;111.221
3; 75 - 79;4.201;7.111;11.312;53.602;80.108;133.710
4; 70 - 74;4.332;5.904;10.236;60.418;83.243;143.661
5; 65 - 69;5.757;7.329;13.086;80.493;102.569;183.062
6; 60 - 64;7.318;8.845;16.163;102.853;122.998;225.851
7; 55 - 59;8.643;9.900;18.543;116.074;132.847;248.921
8; 50 - 54;8.952;10.013;18.965;126.476;138.636;265.112
9; 45 - 49;8.925;9.665;18.590;130.316;139.236;269.552
10; 40 - 44;8.471;8.935;17.406;122.467;127.825;250.292
11; 35 - 39;8.381;8.620;17.001;122.464;125.667;248.131
12; 30 - 34;9.069;9.451;18.520;133.726;137.801;271.527
13; 25 - 29;8.880;9.251;18.131;124.072;132.589;256.661
14; 20 - 24;7.161;7.301;14.462;100.514;102.254;202.768
15; 15 - 19;5.653;5.352;11.005;84.747;81.427;166.174
16; 10 - 14;4.964;4.945;9.909;77.909;75.033;152.942
17; 5 - 9;4.711;4.218;8.929;71.169;68.166;139.335
18; 0 - 4;3.903;3.832;7.735;63.996;60.839;124.835
