El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Latina;Madrid;
2005;Anual;11,88;13,59;
2006;Anual;11,9;13,6;
2007;Anual;12,06;13,72;
2008;Anual;12,21;13,87;
2009;Anual;12,43;14,05;
2010;Anual;12,52;14,19;
2011;Anual;12,63;14,29;
2012;Anual;12,75;14,4;
2013;Anual;12,76;14,46;
2014;Anual;12,76;14,48;
2015;Anual;12,68;14,5;
2016;Anual;12,64;14,51;
2017;Anual;12,68;14,49;
2018;Anual;12,54;14,37;
2019;Anual;12,44;14,22;
2020;Anual;12,27;13,98;
2021;Anual;12,05;13,76;
2022;Anual;11,87;13,55;
2023;Anual;11,68;13,29;
2024;Anual;11,52;13,03;
2025;Anual;11,29;12,74;
