El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Latina;Madrid;
2005;Anual;67,9;67,8;
2006;Anual;67,3;67,7;
2007;Anual;66,8;67,5;
2008;Anual;66,5;67,5;
2009;Anual;65,8;67,4;
2010;Anual;65;67;
2011;Anual;64,3;66,7;
2012;Anual;63,5;66,2;
2013;Anual;63;65,9;
2014;Anual;62,3;65,3;
2015;Anual;62;65;
2016;Anual;62;65;
2017;Anual;62,1;65,1;
2018;Anual;62,4;65,2;
2019;Anual;62,77;65,53;
2020;Anual;63,37;65,96;
2021;Anual;63,79;66,21;
2022;Anual;63,81;66,17;
2023;Anual;64,47;66,51;
2024;Anual;65,14;67,01;
2025;Anual;65,57;67,25;
